date,sta,flight_no,origin,origin_code,airline_name,aircraft_type,tail_reg,icao_cat,cbp_flag,actual_landing,gate
31-Mar-26,16:05,BA4466,London (LCY),LCY,British Airways,E190,G-LCYS,C,FALSE,,
31-Mar-26,16:05,FR8911,Zagreb (ZAG),ZAG,Lauda Europe,A320,9H-LAX,C,FALSE,,
31-Mar-26,16:15,FR7327,Prague (PRG),PRG,Ryanair,B738,SP-RSF,C,FALSE,,
31-Mar-26,16:25,FR561,Manchester (MAN),MAN,Ryanair,B38M,EI-ILJ,C,FALSE,,
31-Mar-26,16:25,FR1455,Milan (MXP),MXP,Ryanair,B738,9H-QDI,C,FALSE,,
31-Mar-26,16:25,FR7035,Faro (FAO),FAO,Ryanair,B738,EI-DPL,C,FALSE,,
31-Mar-26,16:28,N/A,Katowice (KTW),KTW,Ryanair,CL35,M-ASBA,C,FALSE,,
31-Mar-26,16:30,FR1024,Budapest (BUD),BUD,Ryanair,B38M,EI-IFS,C,FALSE,,
31-Mar-26,16:35,EI161,London (LHR),LHR,Aer Lingus,A20N,EI-NSA,C,FALSE,,
31-Mar-26,16:40,EI777,Lanzarote (ACE),ACE,Aer Lingus,A320,EI-DVI,C,FALSE,,
31-Mar-26,16:40,KL1141,Amsterdam (AMS),AMS,KLM,E190,PH-EZL,C,FALSE,,
31-Mar-26,16:44,FX5201,Liege (LGG),LGG,FedEx,B763,N107FE,D,FALSE,,
31-Mar-26,16:45,EA3257,Edinburgh (EDI),EDI,Aer Lingus Regional,AT76,EI-FAT,B,FALSE,,
31-Mar-26,16:50,FR3976,Barcelona (BCN),BCN,Ryanair,B738,9H-QCA,C,FALSE,,
31-Mar-26,16:50,LH980,Frankfurt (FRA),FRA,Lufthansa,A321,D-AISH,C,FALSE,,
31-Mar-26,16:55,VL2518,Munich (MUC),MUC,Lufthansa City,A20N,D-AIIC,C,FALSE,,
31-Mar-26,17:00,FR4410,Rhodes (RHO),RHO,Ryanair,B738,SP-RND,C,FALSE,,
31-Mar-26,17:05,FR5150,Glasgow (GLA),GLA,Ryanair,B38M,EI-IHC,C,FALSE,,
31-Mar-26,17:15,AY1385,Helsinki (HEL),HEL,Finnair,A319,OH-LVH,C,FALSE,,
31-Mar-26,17:15,EI167,London (LHR),LHR,Aer Lingus,A20N,EI-NSD,C,FALSE,,
